,name,representative,address,lat,lng,english_name,english_representative,english_address,picture_name,service_option,star_rate,operation_time,telephone_number,english_operation_time,english_service_option
1,서린낙지,낙지볶음,서울특별시 종로구 종로1가 24 ,37.5709593,126.9798759,Sore octopus.,Stir-fried octopus.,"19, Jong-ro, Jongno-gu, Seoul, Republic of Korea",matzip1,"매장 내 식사, 테이크아웃",3.9,매일 오전 11:30~오후 10:00,02-735-0670,Every day from 11:30am to 10:00pm ,"In-store meals, To go"
2,달인꽈배기,꽈배기,서울특별시 서대문구 영천동 69-3,37.5712096,126.9607313,Master twisted bread stick.,Twisted bread stick.,"4, Yeongcheonsijang-gil, Seodaemun-gu, Seoul, Republic of Korea",matzip2,테이크아웃,4,"월요일 - 금요일 오전 7:00~오후 3:30
토요일 오전 7:00~오전 12:00
일요일 휴무일",02-313-5419,"Mon. - Fri. 7:00am - 3:30pm.
Sat. from 7am to 12am.
Closed on Sun.",To go
3,라면 땡기는 날,짬뽕라면,서울특별시 종로구 화동 138-21,37.5792833,126.9822188,The day I crave ramen.,Spicy Seafood Noodles.,"82, Yulgok-ro 3-gil, Jongno-gu, Seoul, Republic of Korea",matzip3,"매장 내 식사, 테이크아웃, 배달이 안 됨",4.1,매일 오전 9:30~오후 7:30,02-733-3330,Every day From 9:30am to 7:30pm,"In-store meals, To go, No delievery"
4,닭칼원조집,닭한마리,서울특별시 중구 중림동 110-3,37.5601579,126.9678207,Original chicken knife restaurant.,One chicken.,"110-3, Jungnim-dong, Jung-gu, Seoul, Republic of Korea",matzip4,"매장 내 식사, 테이크아웃",4.1,"월요일 - 금요일 오전 11:00~오후 10:00
토요일, 일요일 휴무일",02-392-1134,"Mon. - Fri. 11:00am - 10:00pm
Closed on Sat. and Sun.","In-store meals, To go"
5,호남식당,쫄갈비,서울특별시 중구 충무로4가 127-16,37.5622044,126.9956455,Honam Restaurant.,Jjolgalbi.,"9, Toegye-ro 41-gil, Jung-gu, Seoul, Republic of Korea",matzip5,"매장 내 식사, 배달이 안 됨",3.5,"월요일 - 금요일 오후 12:00~10:30
토요일 오후 12:00~10:00
일요일 휴무일",02-2273-1348,"Mon. - Fri. 12:00pm - 10:30pm.
Sat. 12:00pm~10pm.
Closed on Sun.","In-store meals, No delievery"
6,장원북어국,북어국,서울특별시 영등포구 여의도동 226-36,37.5210579,126.9297678,Jangwon dried pollack soup.,Dried pollack soup.,"226-36, Yeouido-dong, Yeongdeungpo-gu, Seoul, Republic of Korea",matzip6,"매장 내 식사, 테이크아웃, 배달이 안 됨",4.1,"월요일 - 토요일 오전 6:30~오후 3:00
일요일 휴무일",02-784-0639,"Mon. - Sat. 6:30am - 3:00pm
Closed on Sun.","In-store meals, To go, No delievery"
7,중림장,도가니탕,서울특별시 중구 중림동 468,37.5602339,126.9676919,Jungnimjang.,Dog knee soup.,"459-1, Cheongpa-ro, Jung-gu, Seoul, Republic of Korea",matzip7,"매장 내 식사, 테이크아웃",4,매일 오전 8:00~오후 10:00,02-392-7743,Every day from 8:00am to 10:00pm,"In-store meals, To go"
8,삼숙이라면,파채라면,서울특별시 종로구 인사동 220-2,37.5715638,126.9856175,Samsuk ramen,seasoned green onion ramen,"30, Jong-ro 11-gil, Jongno-gu, Seoul, Republic of Korea",matzip8,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.7,"월요일 - 토요일 오전 8:30~오후 9:00
일요일 휴무일",02-720-9711,"Mon. - Sat. 8:30am - 9:00pm
Closed on Sun.","In-store meals, To go, No delievery"
9,노량진수제비,멸치수제비,서울특별시 동작구 노량진로 184,37.5130951,126.9469753,Noryangjin Pocha Sujebi.,Anchovy Sujebi.,"184, Noryangjin-ro, Dongjak-gu, Seoul, Republic of Korea",matzip9,"매장 내 식사, 테이크아웃",리뷰없음,매일 12:00 - 04:00,02-812-1359,Every day from 12:00 to 04:00,"In-store meals, To go"
10,찬양집,바지락칼국수,서울특별시 종로구 돈의동 27,37.5727867,126.9902449,Praise book.,Kalguksu with clams.,"5, Donhwamun-ro 11da-gil, Jongno-gu, Seoul, Republic of Korea",matzip10,"매장 내 식사, 배달이 안 됨",3.9,"월요일 - 토요일 오전 10:00~오후 9:00
일요일 휴무일",02-743-1384,"Mon. - Sat. 10:00am - 9:00pm
Closed on Sun.","In-store meals, No delievery"
11,풍남원조골뱅이,골뱅이,서울특별시 중구 을지로3가 350-1,37.5656427,126.989916,Pungnam Wonjo Golbaengnam Original Marrow.,whelk,"50-1, Supyo-ro, Jung-gu, Seoul, Republic of Korea",matzip11,"매장 내 식사, 테이크아웃, 배달이 안 됨",3.8,"월요일 - 금요일 오후 4:00~오전 12:00
일요일 휴무일",02-2265-2336,"Mon. - Fri. 4:00pm - 12:00am
Closed on Sun.","In-store meals, To go, No delievery"
12,명동교자 본점,칼국수,서울특별시 중구 명동2가 25-2,37.5625266,126.985609,Myeongdong Gyoja Main Store.,Kalguksu,"29, Myeongdong 10-gil, Jung-gu, Seoul, Republic of Korea",matzip13,"매장 내 식사, 테이크아웃, 배달이 안 됨",4.2,"금요일 - 수요일 오전 10:30~오후 9:00
목요일 오전 9:00~오후 9:00",02-776-5348,"Fri. - Wed. 10:30am - 9:00pm
Thu, 9:00am~ 9:00pm","In-store meals, To go, No delievery"
