,rank,name,address,lat,lng,english_rank,english_name,english_address,picture_name,star_rate,telephone_number
1,5성급 호텔,JW메리어트호텔서울,서울특별시 서초구 반포동 신반포로 176,37.5039018,127.0047481,5-star hotel,JW Marriott Hotel Seoul.,"176, Sinbanpo-ro, Seocho-gu, Seoul, Republic of Korea",hotel1,4.4,연락처: 02-6282-6262
2,5성급 호텔,메리어트 이그제큐티브 아파트먼트,서울특별시 영등포구 여의도동 여의대로 8,37.5212552,126.9183157,5-star hotel,Marriott Executive Apartment.,"8, Yeoui-daero, Yeongdeungpo-gu, Seoul, Republic of Korea",hotel2,4.2,연락처: 02-2090-8000
3,5성급 호텔,비스타 W워커힐,서울특별시 광진구 광장동 워커힐로 177,37.5552126,127.1108905,5-star hotel,W Walkerhill.,"177, Walkerhill-ro, Gwangjin-gu, Seoul, Republic of Korea",hotel3,4.5,연락처: 02-455-5000
4,5성급 호텔,그랜드인터컨티넨탈서울파르나스,서울특별시 강남구 삼성동 테헤란로 521,37.5088823,127.0608141,5-star hotel,Grand InterContinental Seoul Parnas.,"521, Teheran-ro, Gangnam-gu, Seoul, Republic of Korea",hotel5,4.4,연락처: 02-555-5656
5,5성급 호텔,그랜드하얏트서울,서울특별시 용산구 한남동 소월로,37.5393346,126.9972683,5-star hotel,Grand Hyatt Seoul.,"322, Sowol-ro, Yongsan-gu, Seoul, Republic of Korea",hotel6,4.4,연락처: 02-797-1234
6,5성급 호텔,그랜드힐튼호텔서울,서울특별시 서대문구 홍은동 연희로 353,37.5890761,126.934305,5-star hotel,Grand Hilton Hotel Seoul.,"353, Yeonhui-ro, Seodaemun-gu, Seoul, Republic of Korea",hotel7,4,연락처: 02-3216-5656
7,4성급 호텔,노보텔앰배서더강남,서울특별시 강남구 역삼1동 봉은사로 130,37.5052908,127.0288874,4-star hotel,Novotel Ambassador Gangnam.,"130 Bongeunsa-ro, Yeoksam 1-dong, Gangnam-gu, Seoul",hotel8,4.2,연락처: 02-567-1101
8,4성급 호텔,롯데시티호텔김포공항,서울특별시 강서구 방화2동 하늘길 38,37.563881,126.802983,4-star hotel,Lotte City Hotel Gimpo Airport.,"38 Haneul-gil, Banghwa 2-dong, Gangseo-gu, Seoul",hotel9,4.2,연락처: 02-6116-1000
9,5성급 호텔,롯데 호텔 서울,서울특별시 중구 을지로1가 을지로 30,37.5653,126.980979,5-star hotel,Lotte Hotel.,"Euljiro 30, Euljiro 1-ga, Jung-gu, Seoul",hotel10,4.5,연락처: 02-771-1000
10,5성급 호텔,롯데 호텔 월드,서울특별시 송파구 잠실동 40-1,37.511534,127.099981,5-star hotel,Lotte Hotel Lotte World.,"240, Olympic-ro, Songpa-gu, Seoul, Republic of Korea",hotel11,4.3,연락처: 02-419-7000
11,5성급 호텔,델리스 메이필드호텔,서울특별시 강서구 외발산동 426,37.5475247,126.8187885,5-star hotel,Mayfield Hotel.,"94, Banghwa-daero, Gangseo-gu, Seoul, Republic of Korea",hotel12,리뷰없음,연락처: 02-2660-9033
12,5성급 호텔,밀레니엄서울힐튼호텔,서울특별시 중구 회현동 소월로 50,37.5552286,126.9757787,5-star hotel,Millennium Seoul Hilton Hotel.,"50, Sowol-dong, Jung-gu, Seoul",hotel13,4.3,연락처: 02-753-7788
13,5성급 호텔,반얀트리클럽&스파서울,서울특별시 중구 장충동2가 장충단로 60,37.5500108,127.0004802,5-star hotel,Banyan Tree Club & Spa Seoul.,"60 Jangchungdan-ro, Jangchung-dong 2-ga, Jung-gu, Seoul, Republic of Korea",hotel14,4.4,연락처: 02-2250-8000
14,5성급 호텔,쉐라톤그랜드워커힐,서울특별시 광진구 광장동 워커힐로 177,37.5552126,127.1108905,5-star hotel,Sheraton Grand Walkerhill.,"177, Walkerhill-ro, Gwangjin-gu, Seoul, Republic of Korea",hotel15,4.4,연락처: 02-455-5000
15,5성급 호텔,쉐라톤서울디큐브시티호텔,서울특별시 구로구 신도림동 경인로,37.508807,126.8897939,5-star hotel,Sheraton Seoul D Cube City Hotel.,"662, Gyeongin-ro, Guro-gu, Seoul, Republic of Korea",hotel16,4.3,연락처: 02-2211-2000
16,5성급 호텔,서울신라호텔,서울특별시 중구 장충동2가 동호로 249,37.5564719,127.0061615,5-star hotel,Shilla Hotel.,"7, Toegye-ro 58-gil, Jung-gu, Seoul, Republic of Korea",hotel17,4.6,연락처: 02-2233-3131
17,5성급 호텔,웨스틴조선호텔서울,서울특별시 중구 소공동  87-1,37.564378,126.980058,5-star hotel,Westin Chosun Hotel Seoul.,"106, Sogong-ro, Jung-gu, Seoul, Republic of Korea",hotel19,4.5,연락처: 02-771-0500
18,5성급 호텔,인터컨티넨탈서울코엑스,서울특별시 강남구 삼성동 봉은사로 524,37.5126188,127.0574169,5-star hotel,InterContinental Seoul COEX.,"524, Bongeunsa-ro, Gangnam-gu, Seoul, Republic of Korea",hotel20,4.4,연락처: 02-3452-2500
